Depth,1,2,3,4,5,6,7,8,9,10,11,Cook,Kempenfelt,MainBasin
1,29190000,168460000,121395000,127397500,18120000,13507500,13442500,195105000,21860000,9272500,4605000,45070000,35737500,641547500
2,26697500,166302500,118750000,124552500,17950000,12835000,7532500,194952500,21727500,9235000,4537500,38317500,35500000,631255000
3,23252500,161417500,113855000,116042500,17012500,11475000,5237500,194042500,21027500,9030000,4442500,33725000,34500000,608610000
4,20517500,156100000,108035000,107765000,16125000,10422500,2135000,192635000,20462500,8762500,4352500,28682500,33577500,585052500
5,18027500,152532500,100900000,101295000,15197500,9705000,672500,191330000,19972500,8590000,4212500,25575000,32775000,564085000
6,16082500,148865000,91007500,98330000,14422500,9070000,220000,189947500,19475000,8425000,4095000,23712500,31995000,544232500
7,14115000,144630000,78180000,95580000,13797500,7842500,47500,188517500,19030000,8270000,3945000,21687500,31245000,521022500
8,12360000,138087500,68055000,93040000,13230000,6945000,NA,187170000,18690000,8102500,3787500,20175000,30580000,498712500
9,10832500,127055000,56527500,90227500,12757500,6092500,NA,185830000,18372500,7937500,3632500,18850000,29942500,470472500
10,9020000,113310000,44052500,86760000,12335000,5430000,NA,184700000,18127500,7792500,3417500,17765000,29337500,437842500
11,7110000,101547500,34052500,83077500,11842500,4740000,NA,183497500,17845000,7670000,3297500,16582500,28812500,409285000
12,5245000,87690000,29150000,80160000,11332500,3907500,NA,182302500,17622500,7532500,3177500,15240000,28332500,384547500
13,3185000,77087500,27747500,76805000,10827500,2640000,NA,180925000,17417500,7397500,3027500,13467500,27842500,365750000
14,1167500,67622500,25565000,73070000,10072500,240000,NA,179435000,17182500,7265000,2855000,10312500,27302500,346860000
15,75000,59762500,23042500,69242500,8735000,2500,NA,177545000,16965000,7147500,2695000,8737500,26807500,329667500
16,NA,51340000,19990000,66020000,7437500,NA,NA,175067500,16737500,7025000,2520000,7437500,26282500,312417500
17,NA,43982500,16912500,62472500,6350000,NA,NA,172637500,16542500,6932500,2357500,6350000,25832500,296005000
18,NA,34977500,13767500,58817500,3927500,NA,NA,170050000,16350000,6812500,2185000,3927500,25347500,277612500
19,NA,28782500,11020000,54842500,2002500,NA,NA,166545000,16170000,6682500,2077500,2002500,24930000,261190000
20,NA,23622500,7847500,50295000,565000,NA,NA,162672500,15975000,6567500,1977500,565000,24520000,244437500
21,NA,18962500,6002500,42080000,52500,NA,NA,156750000,15782500,6460000,1885000,52500,24127500,223795000
22,NA,15395000,4582500,33937500,NA,NA,NA,143585000,15582500,6335000,1742500,,23660000,197500000
23,NA,9332500,3175000,27740000,NA,NA,NA,131832500,15390000,6235000,1617500,,23242500,172080000
24,NA,5155000,1865000,22917500,NA,NA,NA,120910000,15202500,6112500,1490000,,22805000,150847500
25,NA,2397500,NA,18470000,NA,NA,NA,110867500,14995000,5985000,1315000,,22295000,131735000
26,NA,637500,NA,14802500,NA,NA,NA,98115000,14692500,5845000,1072500,,21610000,113555000
27,NA,120000,NA,10807500,NA,NA,NA,84600000,14345000,5657500,877500,,20880000,95527500
28,NA,2500,NA,7290000,NA,NA,NA,72367500,14062500,5512500,720000,,20295000,79660000
29,NA,NA,NA,5055000,NA,NA,NA,61422500,13675000,5312500,572500,,19560000,66477500
30,NA,NA,NA,2777500,NA,NA,NA,47422500,13300000,5095000,435000,,18830000,50200000
31,NA,NA,NA,1320000,NA,NA,NA,36667500,12917500,4885000,267500,,18070000,37987500
32,NA,NA,NA,665000,NA,NA,NA,25837500,12555000,4610000,127500,,17292500,26502500
33,NA,NA,NA,147500,NA,NA,NA,17732500,12175000,4165000,50000,,16390000,17880000
34,NA,NA,NA,20000,NA,NA,NA,9195000,11690000,3650000,7500,,15347500,9215000
35,NA,NA,NA,NA,NA,NA,NA,4432500,11060000,2877500,NA,,13937500,4432500
36,NA,NA,NA,NA,NA,NA,NA,2107500,10452500,2212500,NA,,12665000,2107500
37,NA,NA,NA,NA,NA,NA,NA,1585000,9672500,1430000,NA,,11102500,1585000
38,NA,NA,NA,NA,NA,NA,NA,942500,8605000,637500,NA,,9242500,942500
39,NA,NA,NA,NA,NA,NA,NA,387500,7035000,322500,NA,,7357500,387500
40,NA,NA,NA,NA,NA,NA,NA,NA,4212500,110000,NA,,4322500,
41,NA,NA,NA,NA,NA,NA,NA,NA,1930000,NA,NA,,1930000,
42,NA,NA,NA,NA,NA,NA,NA,NA,172500,NA,NA,,172500,
