Date,Year,Month,Day,Day of the Year,C6
1980-05-01,1980,5,1,122,-18.31100667
1980-05-21,1980,5,21,142,9.641038594
1980-06-11,1980,6,11,163,42.88441938
1980-07-02,1980,7,2,184,2.134874973
1980-07-21,1980,7,21,203,19.33081224
1980-08-13,1980,8,13,226,112.236689
1980-09-02,1980,9,2,246,1.492151108
1980-09-23,1980,9,23,267,58.36695572
1981-04-22,1981,4,22,112,1.594992774
1981-05-11,1981,5,11,131,1.3871195
1981-06-02,1981,6,2,153,0.954533193
1981-06-23,1981,6,23,174,30.44192532
1981-07-14,1981,7,14,195,11.44177078
1981-08-05,1981,8,5,217,6.907162829
1981-08-25,1981,8,25,237,16.2062574
1981-09-14,1981,9,14,257,6.819224012
1981-10-05,1981,10,5,278,7.21355722
1982-04-29,1982,4,29,119,8.149688614
1982-05-10,1982,5,10,130,1.605052013
1982-06-01,1982,6,1,152,12.84793189
1982-06-21,1982,6,21,172,52.92622031
1982-07-12,1982,7,12,193,18.26134236
1982-08-03,1982,8,3,215,14.76491814
1982-08-23,1982,8,23,235,5.123088528
1982-09-14,1982,9,14,257,117.1671435
1982-10-05,1982,10,5,278,16.12333366
1983-04-27,1983,4,27,117,1.250392718
1983-05-16,1983,5,16,136,0.530939348
1983-06-14,1983,6,14,165,2.142338441
1983-06-29,1983,6,29,180,131.6858372
1983-07-19,1983,7,19,200,72.40199118
1983-08-31,1983,8,31,243,25.59380293
1983-09-19,1983,9,19,262,51.30930629
1984-05-24,1984,5,24,145,16.00902246
1984-06-11,1984,6,11,163,13.67497523
1984-07-04,1984,7,4,186,5.112457644
1984-08-13,1984,8,13,226,83.3340629
1984-09-06,1984,9,6,250,8.316981519
1984-10-02,1984,10,2,276,2.769332622
1984-10-17,1984,10,17,291,1.642602847
1984-10-23,1984,10,23,297,2.615597478
1985-04-23,1985,4,23,113,4.33E-11
1985-05-01,1985,5,1,121,5.690241126
1985-05-16,1985,5,16,136,2.076011879
1985-06-19,1985,6,19,170,9.629125293
1985-06-27,1985,6,27,178,31.85514522
1985-07-24,1985,7,24,205,32.27107721
1985-09-04,1985,9,4,247,31.22328735
1985-09-24,1985,9,24,267,83.81735986
1985-10-07,1985,10,7,280,1.207917325
1985-10-18,1985,10,18,291,10.17514032
1986-05-05,1986,5,5,125,4.08E-11
1986-05-21,1986,5,21,141,0.72432252
1986-06-10,1986,6,10,161,7.096380914
1986-07-02,1986,7,2,183,40.74956436
1986-07-21,1986,7,21,202,32.25935217
1986-08-06,1986,8,6,218,20.39661976
1986-08-19,1986,8,19,231,73.24205367
1986-09-02,1986,9,2,245,9.617944545
1986-09-17,1986,9,17,260,20.79725483
1986-10-02,1986,10,2,275,10.80365725
1986-10-21,1986,10,21,294,12.482465
1987-05-22,1987,5,22,142,3.177659047
1987-06-02,1987,6,2,153,31.09327694
1987-06-17,1987,6,17,168,70.72009964
1987-07-06,1987,7,6,187,31.01251093
1987-07-21,1987,7,21,202,115.6366079
1987-08-04,1987,8,4,216,58.8419217
1987-08-19,1987,8,19,231,42.60636808
1987-08-31,1987,8,31,243,17.82015322
1987-09-15,1987,9,15,258,102.0026009
1987-10-06,1987,10,6,279,9.29885857
1987-10-15,1987,10,15,288,9.9038497
1988-05-09,1988,5,9,130,8.271668739
1988-05-30,1988,5,30,151,16.63025714
1988-06-13,1988,6,13,165,85.571687
1988-07-04,1988,7,4,186,50.5075985
1988-07-18,1988,7,18,200,39.29780232
1988-08-02,1988,8,2,215,86.26803875
1988-08-16,1988,8,16,229,131.425503
1988-08-29,1988,8,29,242,56.66621461
1988-09-15,1988,9,15,259,25.98490853
1988-10-03,1988,10,3,277,10.82637192
1989-05-16,1989,5,16,136,3.311826807
1989-05-29,1989,5,29,149,20.76801908
1989-06-12,1989,6,12,163,32.18179188
1989-07-04,1989,7,4,185,25.30211822
1989-07-17,1989,7,17,198,170.4197584
1989-08-01,1989,8,1,213,116.4647825
1989-08-14,1989,8,14,226,100.6943163
1989-08-28,1989,8,28,240,98.08538729
1989-09-11,1989,9,11,254,31.08924416
1989-10-25,1989,10,25,298,12.41122258
1990-05-08,1990,5,8,128,7.72254185
1990-05-28,1990,5,28,148,4.396567496
1990-06-12,1990,6,12,163,66.41748586
1990-07-11,1990,7,11,192,35.05134007
1990-07-25,1990,7,25,206,13.59679412
1990-08-08,1990,8,8,220,58.16105067
1990-08-21,1990,8,21,233,26.31148372
1990-09-04,1990,9,4,247,14.47755813
1990-09-27,1990,9,27,270,7.827258313
1990-11-01,1990,11,1,305,14.65069916
1991-05-08,1991,5,8,128,5.450203902
1991-05-28,1991,5,28,148,8.74230409
1991-06-19,1991,6,19,170,48.14934597
1991-07-08,1991,7,8,189,112.5508412
1991-07-22,1991,7,22,203,22.64185875
1991-08-07,1991,8,7,219,66.63022086
1991-08-20,1991,8,20,232,72.35781495
1991-09-04,1991,9,4,247,7.49472959
1991-09-19,1991,9,19,262,26.18893773
1991-10-03,1991,10,3,276,61.95523504
1991-10-21,1991,10,21,294,3.966378862
1992-05-06,1992,5,6,127,1.651610335
1992-05-25,1992,5,25,146,1.570343956
1992-06-16,1992,6,16,168,8.295513621
1992-07-08,1992,7,8,190,25.92171187
1992-07-21,1992,7,21,203,52.17439328
1992-08-05,1992,8,5,218,30.11657266
1992-08-18,1992,8,18,231,0.143637422
1992-09-01,1992,9,1,245,20.23754944
1992-09-14,1992,9,14,258,13.86793808
1992-09-30,1992,9,30,274,10.15723341
1992-10-22,1992,10,22,296,4.17E-11
1993-05-04,1993,5,4,124,3.068712676
1993-05-30,1993,5,30,150,10.9624464
1993-06-15,1993,6,15,166,11.24252721
1993-07-07,1993,7,7,188,20.37514988
1993-07-21,1993,7,21,202,107.6252198
1993-08-04,1993,8,4,216,3.99E-11
1993-08-17,1993,8,17,229,61.31261663
1993-09-01,1993,9,1,244,75.26504353
1993-09-12,1993,9,12,255,26.01842926
1993-09-26,1993,9,26,269,4.35E-11
