Date,Year,Month,Day,Day of the Year,E51
1980-05-20,1980,5,20,141,-38.92150878
1980-06-12,1980,6,12,164,31.59924905
1980-07-03,1980,7,3,185,15.22978166
1980-07-22,1980,7,22,204,67.45472031
1980-08-12,1980,8,12,225,83.79966585
1980-09-03,1980,9,3,247,60.55655032
1980-09-24,1980,9,24,268,0.842346905
1980-10-15,1980,10,15,289,3.833753676
1981-04-21,1981,4,21,111,1.297238363
1981-06-01,1981,6,1,152,0.180328113
1981-06-24,1981,6,24,175,66.21619887
1981-07-15,1981,7,15,196,123.0599622
1981-08-06,1981,8,6,218,111.3836473
1981-08-26,1981,8,26,238,96.47087842
1981-09-15,1981,9,15,258,41.71141617
1981-10-06,1981,10,6,279,12.07092337
1982-05-11,1982,5,11,131,2.02E-11
1982-05-31,1982,5,31,151,10.52777918
1982-06-21,1982,6,21,172,93.34851739
1982-07-12,1982,7,12,193,29.50891401
1982-08-04,1982,8,4,216,11.51060489
1982-08-24,1982,8,24,236,13.22521653
1982-09-13,1982,9,13,256,6.557626087
1982-10-04,1982,10,4,277,46.38067698
1983-04-26,1983,4,26,116,2.17E-11
1983-05-17,1983,5,17,137,-0.197305214
1983-06-28,1983,6,28,179,1.274329211
1983-07-18,1983,7,18,199,79.40815028
1983-08-29,1983,8,29,241,107.0306851
1983-10-12,1983,10,12,285,85.98768299
1984-06-11,1984,6,11,163,1.84E-11
1984-07-03,1984,7,3,185,75.60368117
1984-07-24,1984,7,24,206,75.30048862
1984-09-06,1984,9,6,250,7.949451454
1984-09-24,1984,9,24,268,11.72319684
1984-10-22,1984,10,22,296,4.625253596
1985-04-30,1985,4,30,120,1.95E-11
1985-06-26,1985,6,26,177,2.379189522
1985-07-23,1985,7,23,204,9.19541284
1985-09-25,1985,9,25,268,5.831146344
1985-10-16,1985,10,16,289,1.82E-11
1986-04-30,1986,4,30,120,-11.11281325
1986-05-22,1986,5,22,142,40.01767135
1986-06-09,1986,6,9,160,58.79485236
1986-07-02,1986,7,2,183,6.666380678
1986-07-22,1986,7,22,203,45.43147199
1986-08-05,1986,8,5,217,73.75205661
1986-08-19,1986,8,19,231,7.469363258
1986-09-02,1986,9,2,245,70.50656289
1986-09-15,1986,9,15,258,12.36702223
1986-10-02,1986,10,2,275,-0.482529064
1987-05-21,1987,5,21,141,1.148215365
1987-06-02,1987,6,2,153,11.36144692
1987-06-16,1987,6,16,167,111.0024475
1987-07-06,1987,7,6,187,142.2837027
1987-07-21,1987,7,21,202,19.23034023
1987-08-04,1987,8,4,216,14.12154082
1987-08-19,1987,8,19,231,31.01891334
1987-08-30,1987,8,30,242,1.90E-11
1987-09-16,1987,9,16,259,2.26E-11
1987-10-07,1987,10,7,280,2.307560835
1987-10-15,1987,10,15,288,2.20E-11
1988-05-12,1988,5,12,133,4.52329027
1988-05-30,1988,5,30,151,18.55417025
1988-06-13,1988,6,13,165,29.45696697
1988-07-04,1988,7,4,186,63.8272816
1988-07-18,1988,7,18,200,48.96635716
1988-08-02,1988,8,2,215,122.8046171
1988-08-16,1988,8,16,229,110.5827368
1988-08-29,1988,8,29,242,2.579603866
1988-09-15,1988,9,15,259,-0.58595807
1988-10-03,1988,10,3,277,1.64E-11
1989-05-15,1989,5,15,135,-0.449622028
1989-05-29,1989,5,29,149,11.04168775
1989-06-12,1989,6,12,163,31.6875062
1989-07-04,1989,7,4,185,27.47577961
1989-07-17,1989,7,17,198,174.0618905
1989-08-01,1989,8,1,213,102.3197792
1989-08-14,1989,8,14,226,64.01797384
1989-08-28,1989,8,28,240,29.14957888
1989-09-11,1989,9,11,254,15.19399001
1989-10-25,1989,10,25,298,11.36486741
1990-05-08,1990,5,8,128,6.523910319
1990-05-28,1990,5,28,148,1.73869711
1990-06-12,1990,6,12,163,48.82926507
1990-07-11,1990,7,11,192,51.78667706
1990-07-25,1990,7,25,206,3.691301373
1990-08-08,1990,8,8,220,13.42287865
1990-08-21,1990,8,21,233,21.90165923
1990-09-04,1990,9,4,247,136.7814865
1990-09-27,1990,9,27,270,62.01775164
1990-11-01,1990,11,1,305,2.241265604
1991-05-08,1991,5,8,128,1.825433185
1991-05-28,1991,5,28,148,5.383318939
1991-06-19,1991,6,19,170,113.9901779
1991-07-08,1991,7,8,189,115.9990248
1991-07-22,1991,7,22,203,73.37988892
1991-08-07,1991,8,7,219,142.988292
1991-08-20,1991,8,20,232,49.23094523
1991-09-04,1991,9,4,247,23.19719512
1991-09-19,1991,9,19,262,9.991428776
1991-10-03,1991,10,3,276,1.72E-11
1991-10-21,1991,10,21,294,5.667235949
1992-05-06,1992,5,6,127,1.88E-11
1992-05-25,1992,5,25,146,0.747820715
1992-06-16,1992,6,16,168,19.67590551
1992-07-08,1992,7,8,190,67.40484064
1992-07-21,1992,7,21,203,12.7516778
1992-08-05,1992,8,5,218,43.84782259
1992-08-18,1992,8,18,231,15.3990902
