Date,Year,Month,Day,Day of the Year,K42
1980-04-30,1980,4,30,121,3.973388404
1980-05-20,1980,5,20,141,193.1785454
1980-06-11,1980,6,11,163,159.699807
1980-07-03,1980,7,3,185,883.3403164
1980-07-22,1980,7,22,204,1799.997815
1980-08-12,1980,8,12,225,2202.970637
1980-09-02,1980,9,2,246,2185.015533
1980-09-23,1980,9,23,267,788.1564827
1980-10-16,1980,10,16,290,210.4610065
1980-10-22,1980,10,22,296,69.83250214
1980-10-30,1980,10,30,304,51.4556413
1981-04-22,1981,4,22,112,-0.135481934
1981-05-14,1981,5,14,134,16.73711502
1981-06-01,1981,6,1,152,108.084099
1981-06-23,1981,6,23,174,899.9526358
1981-08-05,1981,8,5,217,1759.939357
1981-08-24,1981,8,24,236,2024.253928
1981-09-15,1981,9,15,258,1588.545188
1981-09-25,1981,9,25,268,876.5755011
1981-10-05,1981,10,5,278,211.6627493
1981-10-13,1981,10,13,286,62.59593208
1982-04-28,1982,4,28,118,2.887908296
1982-05-11,1982,5,11,131,10.82058283
1982-06-01,1982,6,1,152,690.6403141
1982-06-21,1982,6,21,172,295.1487357
1982-07-12,1982,7,12,193,1294.715326
1982-08-04,1982,8,4,216,2076.027453
1982-08-15,1982,8,15,227,1913.321121
1982-08-23,1982,8,23,235,1028.663132
1982-09-13,1982,9,13,256,1298.862352
1982-10-05,1982,10,5,278,700.5546396
1982-10-13,1982,10,13,286,681.0396606
1982-10-22,1982,10,22,295,206.563023
1982-10-28,1982,10,28,301,166.6136168
1982-11-03,1982,11,3,307,87.21683858
1983-04-27,1983,4,27,117,-0.690852229
1983-05-17,1983,5,17,137,41.75804561
1983-06-13,1983,6,13,164,630.8496741
1983-06-27,1983,6,27,178,428.8341767
1983-07-19,1983,7,19,200,2221.189093
1983-08-16,1983,8,16,228,2285.582503
1983-08-31,1983,8,31,243,2526.705533
1983-09-21,1983,9,21,264,1492.196702
1983-10-13,1983,10,13,286,536.6699446
1983-10-18,1983,10,18,291,277.6626732
1984-05-02,1984,5,2,123,5.22E-10
1984-05-17,1984,5,17,138,12.75543023
1984-05-31,1984,5,31,152,184.3438726
1984-06-06,1984,6,6,158,270.3701951
1984-06-20,1984,6,20,172,927.6604017
1984-06-26,1984,6,26,178,435.5346489
1984-07-04,1984,7,4,186,1275.87029
1984-07-08,1984,7,8,190,1319.211925
1984-07-23,1984,7,23,205,1639.027152
1984-07-25,1984,7,25,207,1662.064384
1984-08-07,1984,8,7,220,2076.946767
1984-08-13,1984,8,13,226,2529.599203
1984-08-21,1984,8,21,234,2089.813247
1984-08-28,1984,8,28,241,1936.54089
1984-09-06,1984,9,6,250,1460.20962
1984-09-12,1984,9,12,256,1352.964519
1984-09-21,1984,9,21,265,1096.153903
1984-09-24,1984,9,24,268,1118.377844
1984-09-27,1984,9,27,271,974.564478
1984-10-02,1984,10,2,276,733.5285848
1984-10-16,1984,10,16,290,407.7360991
1984-10-22,1984,10,22,296,333.5377079
1984-10-29,1984,10,29,303,177.6776414
1984-11-05,1984,11,5,310,4.86E-10
1984-12-16,1984,12,16,351,422.3551464
1985-04-30,1985,4,30,120,0.20930641
1985-05-15,1985,5,15,135,112.1982996
1985-06-05,1985,6,5,156,371.9886084
1985-06-12,1985,6,12,163,383.1811128
1985-06-27,1985,6,27,178,664.9360095
1985-07-09,1985,7,9,190,1188.511396
1985-07-17,1985,7,17,198,1239.922062
1985-07-23,1985,7,23,204,820.036146
1985-08-02,1985,8,2,214,1909.665835
1985-08-05,1985,8,5,217,1884.290891
1985-08-13,1985,8,13,225,2022.143868
1985-08-21,1985,8,21,233,1916.990948
1985-09-05,1985,9,5,248,1613.840082
1985-09-23,1985,9,23,266,1283.455297
1985-10-03,1985,10,3,276,900.9620219
1985-10-11,1985,10,11,284,482.7358554
1985-10-17,1985,10,17,290,373.9177749
1985-10-23,1985,10,23,296,294.970135
1985-10-30,1985,10,30,303,85.5992096
1985-11-06,1985,11,6,310,57.04083663
1986-05-05,1986,5,5,125,5.10828337
1986-05-22,1986,5,22,142,442.5238188
1986-05-26,1986,5,26,146,504.1135292
1986-06-04,1986,6,4,155,533.1222466
1986-06-09,1986,6,9,160,638.982135
1986-06-19,1986,6,19,170,400.2430893
1986-07-02,1986,7,2,183,1169.458222
1986-07-15,1986,7,15,196,1456.340227
1986-07-22,1986,7,22,203,2017.958201
1986-07-28,1986,7,28,209,2228.320204
1986-08-05,1986,8,5,217,2090.532834
1986-08-12,1986,8,12,224,1792.050951
1986-08-19,1986,8,19,231,2513.556603
1986-09-02,1986,9,2,245,1574.995066
1986-09-15,1986,9,15,258,1098.750272
1986-10-02,1986,10,2,275,950.5634086
1987-05-08,1987,5,8,128,62.45817755
1987-05-21,1987,5,21,141,240.7823288
1987-05-28,1987,5,28,148,518.179435
1987-06-02,1987,6,2,153,599.5550624
