Date,S15,,,,,,,
1982-08-15,431.9847281,,,,,,,
1982-08-24,429.0183971,,,,,,,
1982-09-08,151.4896423,,,,,,,
1982-09-17,49.07761944,,,,,,,
1982-09-24,24.18317784,,,,,,,
1982-10-05,81.31000495,,,,,,,
1985-05-31,119.9851621,,,,,,,
1985-06-12,142.8777749,,,,,,,
1985-06-20,38.2718803,,,,,,,
1985-06-27,110.7792105,,,,,,,
1985-07-04,327.0857866,,,,,,,
1985-07-09,372.5416491,,,,,,,
1985-07-17,358.4409798,,,,,,,
1985-07-24,374.1738253,,,,,,,
1985-08-02,263.6991665,,,,,,,
1985-08-07,401.8303855,,,,,,,
1985-08-14,404.2757008,,,,,,,
1985-08-21,318.294321,,,,,,,
1985-09-06,283.9009161,,,,,,,
1985-09-16,120.8707805,,,,,,,
1985-09-25,-20.05081498,,,,,,,
1985-10-03,15.99216711,,,,,,,
1985-10-11,1.18941122,,,,,,,
1986-04-30,41.67319248,,,,,,,
1986-05-16,90.93520546,,,,,,,
1986-05-21,86.91887996,,,,,,,
1986-05-26,187.0447737,,,,,,,
1986-06-04,123.7204374,,,,,,,
1986-06-09,91.88816959,,,,,,,
1986-06-19,119.4145464,,,,,,,
1986-07-02,308.9561105,,,,,,,
1986-07-15,285.8470386,,,,,,,
1986-07-21,495.7831702,,,,,,,
1986-07-28,462.7776177,,,,,,,
1986-08-06,502.3594004,,,,,,,
1986-08-12,273.8114377,,,,,,,
1986-08-19,319.0702319,,,,,,,
1986-09-02,202.8003623,,,,,,,S
1986-09-17,24.204449,,,,,,,
1986-10-01,20.36743005,,,,,,,
1987-05-08,20.99200981,,,,,,,
1987-05-22,98.80795246,,,,,,,
1987-05-28,110.4372959,,,,,,,
1987-06-08,321.52691,,,,,,,
1987-06-11,290.3041632,,,,,,,
1987-06-17,389.5621007,,,,,,,
1987-06-25,503.2265223,,,,,,,
1987-07-06,503.2270499,,,,,,,
1987-07-15,555.8693863,,,,,,,
1987-07-21,663.1028921,,,,,,,
1987-07-29,717.1008668,,,,,,,
1987-08-04,629.7407631,,,,,,,
1987-08-12,430.6785981,,,,,,,
1987-08-19,479.4147406,,,,,,,
1987-08-31,378.9824477,,,,,,,
1987-09-11,264.1607968,,,,,,,
1987-09-15,180.8001,,,,,,,
1987-10-06,2.798423839,,,,,,,
1987-10-15,10.08025456,,,,,,,
1988-05-09,24.06526807,,,,,,,
1988-05-17,21.84235792,,,,,,,
1988-05-30,195.2629254,,,,,,,
1988-06-06,98.47119705,,,,,,,
1988-06-13,189.7428389,,,,,,,
1988-06-20,343.5478434,,,,,,,
